Date,Time,benzene,Status
01/01/1994,01:00:00,No data,V ugm-3
01/01/1994,02:00:00,No data,V ugm-3
01/01/1994,03:00:00,No data,V ugm-3
01/01/1994,04:00:00,No data,V ugm-3
01/01/1994,05:00:00,No data,V ugm-3
01/01/1994,06:00:00,No data,V ugm-3
01/01/1994,07:00:00,No data,V ugm-3
01/01/1994,08:00:00,No data,V ugm-3
01/01/1994,09:00:00,No data,V ugm-3
01/01/1994,10:00:00,No data,V ugm-3
01/01/1994,11:00:00,No data,V ugm-3
01/01/1994,12:00:00,No data,V ugm-3
01/01/1994,13:00:00,No data,V ugm-3
01/01/1994,14:00:00,No data,V ugm-3
01/01/1994,15:00:00,No data,V ugm-3
01/01/1994,16:00:00,No data,V ugm-3
01/01/1994,17:00:00,No data,V ugm-3
01/01/1994,18:00:00,No data,V ugm-3
01/01/1994,19:00:00,No data,V ugm-3
01/01/1994,20:00:00,No data,V ugm-3
01/01/1994,21:00:00,No data,V ugm-3
01/01/1994,22:00:00,No data,V ugm-3
01/01/1994,23:00:00,No data,V ugm-3
01/01/1994,24:00:00,No data,V ugm-3
02/01/1994,01:00:00,No data,V ugm-3
02/01/1994,02:00:00,No data,V ugm-3
02/01/1994,03:00:00,No data,V ugm-3
02/01/1994,04:00:00,No data,V ugm-3
02/01/1994,05:00:00,No data,V ugm-3
02/01/1994,06:00:00,No data,V ugm-3
02/01/1994,07:00:00,No data,V ugm-3
02/01/1994,08:00:00,No data,V ugm-3
02/01/1994,09:00:00,No data,V ugm-3
02/01/1994,10:00:00,No data,V ugm-3
02/01/1994,11:00:00,No data,V ugm-3
02/01/1994,12:00:00,No data,V ugm-3
02/01/1994,13:00:00,No data,V ugm-3
02/01/1994,14:00:00,No data,V ugm-3
02/01/1994,15:00:00,No data,V ugm-3
02/01/1994,16:00:00,No data,V ugm-3
02/01/1994,17:00:00,No data,V ugm-3
02/01/1994,18:00:00,No data,V ugm-3
02/01/1994,19:00:00,No data,V ugm-3
02/01/1994,20:00:00,No data,V ugm-3
02/01/1994,21:00:00,No data,V ugm-3
02/01/1994,22:00:00,No data,V ugm-3
02/01/1994,23:00:00,No data,V ugm-3
02/01/1994,24:00:00,No data,V ugm-3
03/01/1994,01:00:00,No data,V ugm-3
03/01/1994,02:00:00,No data,V ugm-3
03/01/1994,03:00:00,No data,V ugm-3
03/01/1994,04:00:00,No data,V ugm-3
03/01/1994,05:00:00,No data,V ugm-3
03/01/1994,06:00:00,No data,V ugm-3
03/01/1994,07:00:00,No data,V ugm-3
03/01/1994,08:00:00,No data,V ugm-3
03/01/1994,09:00:00,No data,V ugm-3
03/01/1994,10:00:00,No data,V ugm-3
03/01/1994,11:00:00,No data,V ugm-3
03/01/1994,12:00:00,No data,V ugm-3
03/01/1994,13:00:00,No data,V ugm-3
03/01/1994,14:00:00,No data,V ugm-3
03/01/1994,15:00:00,No data,V ugm-3
03/01/1994,16:00:00,No data,V ugm-3
03/01/1994,17:00:00,No data,V ugm-3
03/01/1994,18:00:00,No data,V ugm-3
03/01/1994,19:00:00,No data,V ugm-3
03/01/1994,20:00:00,No data,V ugm-3
03/01/1994,21:00:00,No data,V ugm-3
03/01/1994,22:00:00,No data,V ugm-3
03/01/1994,23:00:00,No data,V ugm-3
03/01/1994,24:00:00,No data,V ugm-3
04/01/1994,01:00:00,No data,V ugm-3
04/01/1994,02:00:00,No data,V ugm-3
04/01/1994,03:00:00,No data,V ugm-3
04/01/1994,04:00:00,No data,V ugm-3
04/01/1994,05:00:00,No data,V ugm-3
04/01/1994,06:00:00,No data,V ugm-3
04/01/1994,07:00:00,No data,V ugm-3
04/01/1994,08:00:00,No data,V ugm-3
04/01/1994,09:00:00,No data,V ugm-3
04/01/1994,10:00:00,No data,V ugm-3
04/01/1994,11:00:00,3.9,V ugm-3
04/01/1994,12:00:00,4.23,V ugm-3
04/01/1994,13:00:00,6.83,V ugm-3
04/01/1994,14:00:00,4.88,V ugm-3
04/01/1994,15:00:00,4.88,V ugm-3
04/01/1994,16:00:00,5.2,V ugm-3
04/01/1994,17:00:00,5.53,V ugm-3
04/01/1994,18:00:00,8.13,V ugm-3
04/01/1994,19:00:00,9.1,V ugm-3
04/01/1994,20:00:00,9.1,V ugm-3
04/01/1994,21:00:00,7.8,V ugm-3
04/01/1994,22:00:00,6.83,V ugm-3
04/01/1994,23:00:00,5.85,V ugm-3
04/01/1994,24:00:00,3.9,V ugm-3
05/01/1994,01:00:00,3.25,V ugm-3
05/01/1994,02:00:00,2.6,V ugm-3
05/01/1994,03:00:00,2.6,V ugm-3
05/01/1994,04:00:00,1.3,V ugm-3
05/01/1994,05:00:00,1.3,V ugm-3
05/01/1994,06:00:00,1.3,V ugm-3
05/01/1994,07:00:00,1.63,V ugm-3
05/01/1994,08:00:00,2.93,V ugm-3
05/01/1994,09:00:00,4.88,V ugm-3
05/01/1994,10:00:00,3.9,V ugm-3
05/01/1994,11:00:00,No data,V ugm-3
05/01/1994,12:00:00,No data,V ugm-3
05/01/1994,13:00:00,3.58,V ugm-3
05/01/1994,14:00:00,3.9,V ugm-3
05/01/1994,15:00:00,3.58,V ugm-3
05/01/1994,16:00:00,4.23,V ugm-3
05/01/1994,17:00:00,5.85,V ugm-3
05/01/1994,18:00:00,5.2,V ugm-3
05/01/1994,19:00:00,5.2,V ugm-3
05/01/1994,20:00:00,5.53,V ugm-3
05/01/1994,21:00:00,5.85,V ugm-3
05/01/1994,22:00:00,5.85,V ugm-3
05/01/1994,23:00:00,6.5,V ugm-3
05/01/1994,24:00:00,4.55,V ugm-3
06/01/1994,01:00:00,3.9,V ugm-3
06/01/1994,02:00:00,1.63,V ugm-3
06/01/1994,03:00:00,0.98,V ugm-3
06/01/1994,04:00:00,1.3,V ugm-3
06/01/1994,05:00:00,1.3,V ugm-3
06/01/1994,06:00:00,1.3,V ugm-3
06/01/1994,07:00:00,3.58,V ugm-3
06/01/1994,08:00:00,8.45,V ugm-3
06/01/1994,09:00:00,24.38,V ugm-3
06/01/1994,10:00:00,15.28,V ugm-3
06/01/1994,11:00:00,22.43,V ugm-3
06/01/1994,12:00:00,36.08,V ugm-3
06/01/1994,13:00:00,28.6,V ugm-3
06/01/1994,14:00:00,19.18,V ugm-3
06/01/1994,15:00:00,17.88,V ugm-3
06/01/1994,16:00:00,27.63,V ugm-3
06/01/1994,17:00:00,25.35,V ugm-3
06/01/1994,18:00:00,15.93,V ugm-3
06/01/1994,19:00:00,11.38,V ugm-3
06/01/1994,20:00:00,9.1,V ugm-3
06/01/1994,21:00:00,8.13,V ugm-3
06/01/1994,22:00:00,6.18,V ugm-3
06/01/1994,23:00:00,4.55,V ugm-3
06/01/1994,24:00:00,6.83,V ugm-3
07/01/1994,01:00:00,5.85,V ugm-3
07/01/1994,02:00:00,4.55,V ugm-3
07/01/1994,03:00:00,3.9,V ugm-3
07/01/1994,04:00:00,3.25,V ugm-3
07/01/1994,05:00:00,2.93,V ugm-3
07/01/1994,06:00:00,2.28,V ugm-3
07/01/1994,07:00:00,2.93,V ugm-3
07/01/1994,08:00:00,3.9,V ugm-3
07/01/1994,09:00:00,8.78,V ugm-3
07/01/1994,10:00:00,10.4,V ugm-3
07/01/1994,11:00:00,8.78,V ugm-3
07/01/1994,12:00:00,11.38,V ugm-3
07/01/1994,13:00:00,7.8,V ugm-3
07/01/1994,14:00:00,No data,V ugm-3
07/01/1994,15:00:00,No data,V ugm-3
07/01/1994,16:00:00,No data,V ugm-3
07/01/1994,17:00:00,No data,V ugm-3
07/01/1994,18:00:00,20.48,V ugm-3
07/01/1994,19:00:00,22.1,V ugm-3
07/01/1994,20:00:00,19.18,V ugm-3
07/01/1994,21:00:00,17.55,V ugm-3
07/01/1994,22:00:00,22.43,V ugm-3
07/01/1994,23:00:00,23.4,V ugm-3
07/01/1994,24:00:00,21.78,V ugm-3
08/01/1994,01:00:00,16.58,V ugm-3
08/01/1994,02:00:00,27.95,V ugm-3
08/01/1994,03:00:00,25.68,V ugm-3
08/01/1994,04:00:00,24.05,V ugm-3
08/01/1994,05:00:00,23.08,V ugm-3
08/01/1994,06:00:00,18.53,V ugm-3
08/01/1994,07:00:00,17.88,V ugm-3
08/01/1994,08:00:00,9.1,V ugm-3
08/01/1994,09:00:00,13,V ugm-3
08/01/1994,10:00:00,8.13,V ugm-3
08/01/1994,11:00:00,11.7,V ugm-3
08/01/1994,12:00:00,19.5,V ugm-3
08/01/1994,13:00:00,16.9,V ugm-3
08/01/1994,14:00:00,22.1,V ugm-3
08/01/1994,15:00:00,No data,V ugm-3
08/01/1994,16:00:00,10.08,V ugm-3
08/01/1994,17:00:00,12.35,V ugm-3
08/01/1994,18:00:00,8.13,V ugm-3
08/01/1994,19:00:00,8.78,V ugm-3
08/01/1994,20:00:00,7.48,V ugm-3
08/01/1994,21:00:00,5.53,V ugm-3
08/01/1994,22:00:00,3.9,V ugm-3
08/01/1994,23:00:00,4.55,V ugm-3
08/01/1994,24:00:00,4.23,V ugm-3
09/01/1994,01:00:00,3.25,V ugm-3
09/01/1994,02:00:00,2.28,V ugm-3
09/01/1994,03:00:00,1.95,V ugm-3
09/01/1994,04:00:00,1.95,V ugm-3
09/01/1994,05:00:00,1.95,V ugm-3
09/01/1994,06:00:00,1.95,V ugm-3
09/01/1994,07:00:00,2.28,V ugm-3
09/01/1994,08:00:00,2.6,V ugm-3
09/01/1994,09:00:00,2.6,V ugm-3
09/01/1994,10:00:00,2.6,V ugm-3
09/01/1994,11:00:00,3.58,V ugm-3
09/01/1994,12:00:00,3.58,V ugm-3
09/01/1994,13:00:00,3.9,V ugm-3
09/01/1994,14:00:00,2.93,V ugm-3
09/01/1994,15:00:00,3.58,V ugm-3
09/01/1994,16:00:00,4.23,V ugm-3
09/01/1994,17:00:00,3.9,V ugm-3
09/01/1994,18:00:00,3.9,V ugm-3
09/01/1994,19:00:00,3.25,V ugm-3
09/01/1994,20:00:00,2.6,V ugm-3
09/01/1994,21:00:00,2.28,V ugm-3
09/01/1994,22:00:00,2.6,V ugm-3
09/01/1994,23:00:00,2.6,V ugm-3
09/01/1994,24:00:00,2.6,V ugm-3
10/01/1994,01:00:00,1.95,V ugm-3
10/01/1994,02:00:00,1.63,V ugm-3
10/01/1994,03:00:00,1.63,V ugm-3
10/01/1994,04:00:00,1.3,V ugm-3
10/01/1994,05:00:00,1.63,V ugm-3
10/01/1994,06:00:00,1.63,V ugm-3
10/01/1994,07:00:00,2.93,V ugm-3
10/01/1994,08:00:00,3.9,V ugm-3
10/01/1994,09:00:00,9.43,V ugm-3
10/01/1994,10:00:00,12.68,V ugm-3
10/01/1994,11:00:00,12.03,V ugm-3
10/01/1994,12:00:00,5.2,V ugm-3
10/01/1994,13:00:00,5.2,V ugm-3
10/01/1994,14:00:00,6.5,V ugm-3
10/01/1994,15:00:00,8.78,V ugm-3
10/01/1994,16:00:00,6.18,V ugm-3
10/01/1994,17:00:00,8.13,V ugm-3
10/01/1994,18:00:00,7.48,V ugm-3
10/01/1994,19:00:00,9.43,V ugm-3
10/01/1994,20:00:00,7.8,V ugm-3
10/01/1994,21:00:00,6.5,V ugm-3
10/01/1994,22:00:00,4.23,V ugm-3
10/01/1994,23:00:00,3.9,V ugm-3
10/01/1994,24:00:00,2.93,V ugm-3
11/01/1994,01:00:00,2.93,V ugm-3
11/01/1994,02:00:00,2.28,V ugm-3
11/01/1994,03:00:00,1.63,V ugm-3
11/01/1994,04:00:00,1.63,V ugm-3
11/01/1994,05:00:00,1.63,V ugm-3
11/01/1994,06:00:00,1.95,V ugm-3
11/01/1994,07:00:00,3.58,V ugm-3
11/01/1994,08:00:00,4.23,V ugm-3
11/01/1994,09:00:00,8.13,V ugm-3
11/01/1994,10:00:00,11.38,V ugm-3
11/01/1994,11:00:00,9.43,V ugm-3
11/01/1994,12:00:00,4.23,V ugm-3
11/01/1994,13:00:00,22.75,V ugm-3
11/01/1994,14:00:00,No data,V ugm-3
11/01/1994,15:00:00,No data,V ugm-3
11/01/1994,16:00:00,No data,V ugm-3
11/01/1994,17:00:00,No data,V ugm-3
11/01/1994,18:00:00,No data,V ugm-3
11/01/1994,19:00:00,7.15,V ugm-3
11/01/1994,20:00:00,5.85,V ugm-3
11/01/1994,21:00:00,4.88,V ugm-3
11/01/1994,22:00:00,3.9,V ugm-3
11/01/1994,23:00:00,3.25,V ugm-3
11/01/1994,24:00:00,2.6,V ugm-3
12/01/1994,01:00:00,2.6,V ugm-3
12/01/1994,02:00:00,1.95,V ugm-3
12/01/1994,03:00:00,1.63,V ugm-3
12/01/1994,04:00:00,1.63,V ugm-3
12/01/1994,05:00:00,1.3,V ugm-3
12/01/1994,06:00:00,0.98,V ugm-3
12/01/1994,07:00:00,1.3,V ugm-3
12/01/1994,08:00:00,2.28,V ugm-3
12/01/1994,09:00:00,3.9,V ugm-3
12/01/1994,10:00:00,No data,V ugm-3
12/01/1994,11:00:00,3.25,V ugm-3
12/01/1994,12:00:00,4.23,V ugm-3
12/01/1994,13:00:00,4.55,V ugm-3
12/01/1994,14:00:00,3.9,V ugm-3
12/01/1994,15:00:00,3.25,V ugm-3
12/01/1994,16:00:00,3.58,V ugm-3
12/01/1994,17:00:00,2.93,V ugm-3
12/01/1994,18:00:00,3.25,V ugm-3
12/01/1994,19:00:00,3.58,V ugm-3
12/01/1994,20:00:00,2.6,V ugm-3
12/01/1994,21:00:00,2.28,V ugm-3
12/01/1994,22:00:00,2.28,V ugm-3
12/01/1994,23:00:00,1.3,V ugm-3
12/01/1994,24:00:00,1.63,V ugm-3
13/01/1994,01:00:00,0.98,V ugm-3
13/01/1994,02:00:00,0.98,V ugm-3
13/01/1994,03:00:00,0.98,V ugm-3
13/01/1994,04:00:00,0.98,V ugm-3
13/01/1994,05:00:00,0.98,V ugm-3
13/01/1994,06:00:00,0.98,V ugm-3
13/01/1994,07:00:00,1.3,V ugm-3
13/01/1994,08:00:00,1.95,V ugm-3
13/01/1994,09:00:00,3.58,V ugm-3
13/01/1994,10:00:00,4.23,V ugm-3
